time_sent,time_reply,bet,side,result,duration_ms
2025-11-01T03:14:53.650Z,2025-11-01T03:14:56.864Z,3906,t,win,3214
2025-11-01T03:15:13.131Z,2025-11-01T03:15:16.270Z,3906,t,loss,3139
2025-11-01T03:15:32.708Z,2025-11-01T03:15:35.994Z,7812,t,loss,3286
2025-11-01T03:15:55.944Z,2025-11-01T03:16:00.027Z,15624,t,win,4083
2025-11-01T03:16:18.133Z,2025-11-01T03:16:21.319Z,3906,t,loss,3186
2025-11-01T03:16:41.009Z,2025-11-01T03:16:44.060Z,7812,t,loss,3051
2025-11-01T03:17:03.480Z,2025-11-01T03:17:06.713Z,15624,t,loss,3233
2025-11-01T03:17:23.864Z,2025-11-01T03:17:27.320Z,31248,t,win,3456
2025-11-01T03:17:45.883Z,2025-11-01T03:17:49.158Z,3906,t,win,3275
2025-11-01T03:18:05.432Z,2025-11-01T03:18:08.652Z,3906,t,win,3220
2025-11-01T03:18:25.528Z,2025-11-01T03:18:28.616Z,3906,t,loss,3088
2025-11-01T03:18:48.254Z,2025-11-01T03:18:51.415Z,7812,t,loss,3161
2025-11-01T03:19:08.778Z,2025-11-01T03:19:12.084Z,15624,t,loss,3306
2025-11-01T03:19:29.362Z,2025-11-01T03:19:33.010Z,31248,t,win,3648
2025-11-01T03:19:48.859Z,2025-11-01T03:19:52.074Z,3906,t,win,3215
2025-11-01T03:20:09.605Z,2025-11-01T03:20:12.786Z,3906,t,win,3181
2025-11-01T03:20:29.936Z,2025-11-01T03:20:33.452Z,3906,t,loss,3516
2025-11-01T03:20:51.155Z,2025-11-01T03:20:54.417Z,7812,t,win,3262
2025-11-01T03:30:53.485Z,2025-11-01T03:30:56.604Z,50000,h,loss,3119
2025-11-01T03:31:16.016Z,2025-11-01T03:31:19.340Z,50000,h,win,3324
2025-11-01T03:31:39.225Z,2025-11-01T03:31:42.599Z,100000,t,loss,3374
2025-11-01T03:32:02.389Z,2025-11-01T03:32:06.165Z,50000,t,loss,3776
2025-11-01T03:32:22.295Z,2025-11-01T03:32:25.450Z,50000,t,win,3155
2025-11-01T03:32:44.355Z,2025-11-01T03:32:47.676Z,100000,t,loss,3321
2025-11-01T03:33:06.226Z,2025-11-01T03:33:09.725Z,50000,t,win,3499
2025-11-01T03:33:26.850Z,2025-11-01T03:33:29.913Z,100000,t,loss,3063
2025-11-01T03:33:49.102Z,2025-11-01T03:33:52.886Z,50000,h,win,3784
2025-11-01T03:34:08.713Z,2025-11-01T03:34:11.975Z,100000,h,loss,3262
2025-11-01T03:34:55.684Z,2025-11-01T03:34:58.991Z,50000,h,loss,3307
2025-11-01T03:35:16.866Z,2025-11-01T03:35:20.014Z,50000,h,win,3148
2025-11-01T03:35:36.751Z,2025-11-01T03:35:40.106Z,100000,h,loss,3355
2025-11-01T03:35:57.741Z,2025-11-01T03:36:00.969Z,50000,h,loss,3228
2025-11-01T03:36:20.805Z,2025-11-01T03:36:24.025Z,50000,h,loss,3220
2025-11-01T03:36:40.038Z,2025-11-01T03:36:43.194Z,50000,t,win,3156
2025-11-01T03:37:03.107Z,2025-11-01T03:37:06.839Z,100000,t,loss,3732
2025-11-01T03:37:22.357Z,2025-11-01T03:37:25.480Z,50000,t,loss,3123
2025-11-01T03:37:43.475Z,2025-11-01T03:37:46.609Z,50000,h,loss,3134
2025-11-01T03:38:04.525Z,2025-11-01T03:38:07.874Z,50000,t,win,3349
2025-11-01T03:38:24.489Z,2025-11-01T03:38:27.849Z,100000,t,win,3360
2025-11-01T03:38:47.670Z,2025-11-01T03:38:50.965Z,50000,t,win,3295
2025-11-01T03:39:06.889Z,2025-11-01T03:39:09.997Z,100000,t,loss,3108
2025-11-01T03:39:28.917Z,2025-11-01T03:39:32.015Z,50000,h,win,3098
2025-11-01T03:39:48.904Z,2025-11-01T03:39:52.118Z,100000,h,win,3214
2025-11-01T03:40:10.315Z,2025-11-01T03:40:13.699Z,50000,h,win,3384
2025-11-01T03:40:31.595Z,2025-11-01T03:40:35.203Z,100000,h,win,3608
2025-11-01T03:40:55.173Z,2025-11-01T03:40:58.392Z,50000,h,win,3219
2025-11-01T03:41:17.784Z,2025-11-01T03:41:21.047Z,100000,h,win,3263
2025-11-01T03:42:18.521Z,2025-11-01T03:42:21.758Z,50000,h,loss,3237
2025-11-01T03:42:37.425Z,2025-11-01T03:42:41.087Z,50000,h,win,3662
2025-11-01T03:42:59.941Z,2025-11-01T03:43:03.153Z,100000,h,loss,3212
